ID,bid,user_id,User's Nickname,Weibo text,Headline article url,Post location,Aite users,topic,Number of forwards,Number of comments,Number of likes,release time,publishing tools,Weibo picture url,Weibo video url,retweet_id
4.86E+15,MqXJdAlFW,7296927424,Splashing Water_Warrior Nation,"The Ringer, an American media outlet, updated the top 100 NBA active players. The Warriors accounted for 6 places. No. 3 Stephen Curry - the most powerful dynamic offensive weapon, which continues to inspire fear in the hearts of the opponent's defenders. No. 3 Dream Green - an excellent defender and organizer. NO.38 Andrew Wiggins-Excellent defense, honing outside shooting, reshaping the reborn former No. 1 pick NO.44 Klay Thompson-The legendary player in the playoffs is recovering his defensive ability and stability as a shooter NO.88 Kevin Looney - Be yourself and contribute to the dynasty system. He has impeccable feel. NO.97 Jordan Poole - A spark plug scorer who will ignite the game when he gets the chance, but he is learning. How to have a positive impact on the team without scoring #金state Warriors # #CURY # #Thompson #",,,,"Golden State Warriors, Curry, Thompson",5,23,122,2/1/23 9:08,Golden State Warriors Super Talk,"['https://wx2.sinaimg.cn/large/007XPa9Oly1hanpgtqow1j30b40b4q3j.jpg', 'https://wx3.sinaimg.cn/large/007XPa9Oly1hanppojoa6j30b40b4jsd.jpg', 'https://wx3.sinaimg.cn/large/ 007XPa9Oly1hanppojrvpj30b40b4q3r.jpg', 'https://wx3.sinaimg.cn/large/007XPa9Oly1hanppojqy1j30b40b4dgj.jpg', 'https://wx2.sinaimg.cn/large/007XPa9Oly1hanpqr22wpj30b 40b475a.jpg', 'https://wx1.sinaimg. cn/large/007XPa9Oly1hanpqr2ou7j30b40b4gmd.jpg']",,
4.86E+15,MqQcxC1sg,7796537062,Ale watches football,"Nets vs Lakers # 4 of the 6 big stars are absent, but the Nets still have better lineup reserves. Even if Curry and Harris, the two main shooters, are not performing well, there are still people on the bench who can stand up. If the Lakers can't make the playoffs, will they completely change next season? #Doncic53Points# What kind of lineup does the Mavericks need to equip Doncic? Signing veteran McGee with a large amount of money during the offseason is a controversial signing. Unless they use draft picks in the next few years, it will be difficult to have one. There is a chance to get a big improvement. After all, it is a once-in-a-lifetime opportunity for the Bucks to sign a big center like Lopez for Antetokounmpo at a low price who can defend and stretch out. NBA",,,,"Nets vs. Lakers, Doncic scores 53 points",0,0,0,1/31/23 13:59,NBA Super Talk,,,
4.86E+15,ikB,2116421271,Sprite talk ball,"Only James can bring me to the championship."" 183 Marksman applied for a trade, and the Lakers' opportunity came. After the Lakers unfortunately lost to the Celtics, they still want to make some changes and enhancements to the lineup. It is reported that the current team The team also wanted to add several capable shooters. After losing Nunn, the Lakers wanted to add a shooting guard to fill Nunn's vacancy. At this time, the Lakers got a good opportunity. It is reported that the Raptors currently have Internal strife occurred, the most important of which was between its guards VanVleet and Trent, who had unpleasant incidents. VanVleet has refused the Raptors to renew his contract by US$110 million, and now he is also asking the Raptors to Either keep him or trade Trent away. However, this young player is also very tough and directly told the management that he wanted to go to the Los Angeles Lakers. Trent also revealed to his agent that he believed that only James and Only thick eyebrows can lead him to win the championship, so he wants to play for the Lakers, and then as long as he shows his worth and good performance, he may get a bigger contract. I have to say that Trent also has a certain degree of foresight. People like Caruso It was a very good example in the past. After the Lakers performed very well, they both received very large contracts. Torrent must have seen this scene, so he wanted to play some level games with James before pursuing With more contracts, Trent averaged 18 points and 3.2 assists per game this season, shooting 37% from three-point range, and 44.5% overall. Once the player feels it in the game, he will He can hit three-pointers one after another like a barrage, and his scoring explosiveness is also more powerful. If the Lakers can welcome this powerful guard, they will have a great chance of winning the championship, and now this 18+ 3 sharpshooters have submitted trade applications. The opportunity has really come to the Lakers. Maybe they will consider using a bargaining chip like Beverley to trade for Trent. Now, although James is 38 years old, he is still as good as ever. In the game, he personally His ability is still very strong. If he can be matched with assistants that suit him, then I believe the Lakers can still win the championship. NBA",,,,,0,0,1,1/30/23 18:50,NBA Super Talk,"['https://wx1.sinaimg.cn/large/7e260697gy1halvddhj2qj2083083mx3.jpg', 'https://wx1.sinaimg.cn/large/7e260697gy1halvddre6mj20830833yo.jpg', 'https://wx1.sinaimg.cn/large/ 7e260697gy1halvdd7ck5j2083083wef.jpg', 'https://wx2.sinaimg.cn/large/7e260697gy1halvde6nbuj2083083jrg.jpg', 'https://wx2.sinaimg.cn/large/7e260697gy1halvdeoyfzj20830 83aaa.jpg', 'https://wx2.sinaimg. cn/large/7e260697gy1halvdf0ws4j2083083q33.jpg', 'https://wx3.sinaimg.cn/large/7e260697gy1halvdfbitdj2083083gln.jpg', 'https://wx3.sinaimg.cn/large/7e260697gy1halvdfmb 6aj2083083glw.jpg', 'https:// wx1.sinaimg.cn/large/7e260697gy1halvdfvsa6j2083083wem.jpg']",,
4.86E+15,MqI9GqI1Z,1883881851,NBA,"#NBADream1Team#The best lineup for January 30: Morant becomes an all-around warrior, Rozier becomes a new generation of professional buzzer beater, JJJ combines offense and defense, Osman is a three-point marksman, and Moses Brown is the cost-effective king. Best pick of the day: The three players in the best lineup are guaranteed to win the base. The outstanding performance of Washington + Clark is also worthy of their worth. The first one on today's list can be said to be a wise judge of people! Tomorrow's interpretation: Embiid has recently entered a breakout stage, Irving's single-core leadership is getting better, Edwards may once again dominate the game, and Dinwiddie becomes the Lone Ranger's temporary ball-holding core. Click on the O web link to choose your dream formation immediately! #NBANew Year’s Eve#",,,,"NBA Fantasy 1 Team, NBA New Year’s Eve",1,0,13,1/30/23 17:30,Weibo web version,"['https://wx4.sinaimg.cn/large/0023uzJ9gy1halo2aawsrj60ku15ob2902.jpg', 'https://wx1.sinaimg.cn/large/0023uzJ9gy1halo2au0kjj60ku15o1kx02.jpg']",,
4.86E+15,MqBCgawZu,7334998013,Don't like passing the ball,"This article is very interesting >> ""Ignoring the two prolific shooters and insisting on making an all-out offer for LaVine, the Lakers management is too stubborn"" O web link #NBA#",,,,NBA,0,0,0,1/30/23 0:51,iPhone client,,,
4.86E+15,MqvPgxZyX,6467532750,colts basketball watchers,"Embiid told ESPN reporters that he believes this year's team is the best and deepest in his seven seasons in the NBA. ""I think so,"" Embiid said. ""You've got Harden, obviously he's been playing well. You've got Maxey, Harris has been great, and P.J. Tucker... we have a team that works well together. ""We're (definitely) going to be in the playoffs Find the answer in . But I think as far as coordination goes, you have it all. Everyone fits in well with each other and works well with each other. We have shooters, we have defenders, and we have Harden. So I think our chances are good. ” #Philadelphia76ers#",,,,Philadelphia 76ers,0,13,97,1/29/23 10:06,,['https://wx4.sinaimg.cn/large/0073H6Imgy1hakamqsbpaj30yi17h4ak.jpg'],,
4.86E+15,Mqs10kCtD,5170364028,Wan Hui,"NBA Golden State Warriors defeated the Raptors 129:117 at home. Xiao Poyong won two consecutive games at home. It was a wise move for Cole to play DiVincenzo and play Poole at the decisive moment. DiVincenzo said after the game that he broke the single-game assist record : ""11 assists looks good, but you have to know that I am playing with two of the greatest shooters in history."" Look, Di Vincenzo has 12 points + 11 assists today. The plus-minus value is the highest in the game at +24, and the 11 assists are a career high for Brother Zuo! The decisive lineup with Brother Zo is reassuring. He can pass, defend and attack. He plays with a clear mind and is steady at critical moments. DiVincenzo, how did we get him #nba##nbaTucaoConference##金州英雄# #CURI## KlayThompson##DiVincenzo11 assists career high##Kuminga scored 4 consecutive three-pointers##Warriors double kill Raptors#",,,,"nba, NBA Tucao Conference, Golden State Warriors, Curry, Klay Thompson, DiVincenzo 11 assists, career high, Kuminga scored 4 consecutive three-pointers, Warriors double kill Raptors",0,0,0,1/29/23 0:24,NBA Super Talk,"['https://wx4.sinaimg.cn/large/005DUjScly1hajthz9i4mj30u011i19n.jpg', 'https://wx2.sinaimg.cn/large/005DUjScly1hajthy9o61j31jh0muajy.jpg', 'https://wx3.sinaimg.cn/large/ 005DUjScly1hajthf3pd6j31jk1107tx.jpg', 'https://wx4.sinaimg.cn/large/005DUjScly1hajth3y64tg309204vb2a.jpg', 'https://wx1.sinaimg.cn/large/005DUjScly1hajthazxfhg30la09 zkju.jpg', 'https://wx2.sinaimg. cn/large/005DUjScly1hajthdqxh3g309204vb2a.jpg', 'https://wx2.sinaimg.cn/large/005DUjScly1hajth22a9hj31jk110dty.jpg', 'https://wx2.sinaimg.cn/large/005DUjScly1hajthg3wfdj3 1bw27w1bi.jpg', 'https:// wx1.sinaimg.cn/large/005DUjScly1hajthfl4rcj30re0g5tco.jpg']",,
4.86E+15,Mqq5yqFcM,1990544621,TITAN land edge club,"[Nas: No team can do what the Warriors’ shooters have done] Reprinted from: NBA official website On January 28, Beijing time, the Warriors challenged the Raptors away from home. At the end of the game, the Warriors defeated the Raptors 129-117. After the game, Raptors head coach Nick Nurse accepted an interview and talked about the Warriors' offense in this game. ""The level, quantity, running and cutting speed of the shooters they displayed when attacking, no other team in the league can do these... @新NA News O Nurse: No team can achieve the Warriors shooter group things done",,,Sina News,,0,0,0,1/28/23 19:30,Weibo Publishing Platform Professional Edition,['https://wx1.sinaimg.cn/large/76a54cedly8hajlai14ebj20h808yab6.jpg'],,
4.86E+15,MqpvEcwBx,7736530432,clown rolling mud,"Don't come! Being a core player, LaVine is not as good as Westbrook! Westbrook's defense is a matter of willingness. LaVine really emphasizes offense and neglects defense. If the Lakers come, they may change from the third giant to a pure three-point shooter. Then the NBA will take the blame again. Besides, LaVine's physical endurance is also poor. Not so good, if the thick eyebrows and LaVine both fall to the ground in the playoffs, Lao Zhan will be in trouble again. . .",,,,,0,0,1,1/28/23 18:01,Honor Magic4,"['https://wx1.sinaimg.cn/large/008rzGYUgy1hajin6anrtj30hg09bmyk.jpg', 'https://wx4.sinaimg.cn/large/008rzGYUgy1hajin6kjhnj30ml0boadc.jpg', 'https://wx1.sinaimg.cn/large/ 008rzGYUgy1hajin6vojcj30hd0hejuo.jpg']",,
4.86E+15,Mqppq08NX,1990544621,TITAN land edge club,"[4 three-pointers in 169 seconds! Another 20-year-old sharpshooter from the Warriors is released: The Curry effect is amazing] Curry is the promoter of the three-point era. He has influenced the trend of the NBA. The entire league advocates shooting three-pointers, and elite shooters are constantly emerging around him. On January 28, Beijing time, the Warriors defeated the Raptors 129-117 at home. Curry scored 35 points, 7 rebounds, 11 assists, and made 4 of 8 three-pointers. Tang Shen scored 29 points and 8 rebounds, and made 6 of 14 three-pointers... #Stephen Curry # # Klay Thompson # @ Sina News O web link",,,Sina News,"Stephen Curry, Klay Thompson",0,0,0,1/28/23 17:46,Weibo Publishing Platform Professional Edition,"['https://wx3.sinaimg.cn/large/76a54cedly8hajiah1xpmj20sg0g8wfq.jpg', 'https://wx3.sinaimg.cn/large/76a54cedly8hajiah624qj20n30f90tw.jpg', 'https://wx4.sinaimg.cn/large/ 76a54cedly8hajiahbnt2j20qb0f9gnc.jpg']",,
4.86E+15,MqoSofyfu,7676999724,Trend FUN88,"What is high emotional intelligence? DiVincenzo talked about his season-high assists after the game: ""11 assists seems pretty good, but you have to know that I'm playing with two of the greatest shooters in NBA history.""",,,,,0,0,0,1/28/23 16:25,iPhone client,['https://wx1.sinaimg.cn/large/008nxUkcly1hajfxt0aiej31jk110h65.jpg'],,
4.86E+15,AHr,1642292081,Hupu Basketball,"Steady shooter! Thompson made 11 of 24 shots, 6 of 14 three-pointers and scored 29 points, 8 rebounds, 1 assist and 1 steal. How would you rate this performance? Click on the link to rate his performance: Ohupu Sports Network Today’s NBA regular season home game between the Warriors and the Raptors has ended. At the end of the game, the Warriors defeated the Raptors 129-117. In this game, Thompson made 11 of 24 shots and 6 of 14 three-pointers. He scored 29 points, 8 rebounds, 1 assist and 1 steal. #Thompson29Points##Warriors defeat Raptors#",,,,"Thompson scores 29 points, Warriors beat Raptors",0,3,14,1/28/23 14:56,iPhone client,['https://wx1.sinaimg.cn/large/001N8TbXgy1hajdd2x80kj618g244aj402.jpg'],,
